sprite1,1590,0,244,226
sprite2,1325,19,247,225
sprite3,1060,37,249,225
sprite4,795,55,252,229
sprite5,0,82,265,285
sprite6,265,82,262,256
sprite7,530,82,257,227
sprite8,1251,264,61,20
sprite9,1516,264,61,20
sprite10,1781,264,61,20
sprite11,0,367,240,226
sprite12,265,367,238,226
sprite13,530,367,234,226
sprite14,795,367,231,226
sprite15,1060,367,228,226
sprite16,1325,367,225,226
sprite17,1590,367,222,226
sprite18,1060,733,225,227
sprite19,0,734,222,226
sprite20,265,734,224,226
sprite21,530,734,225,226
sprite22,795,734,225,226
sprite23,1325,744,226,228
sprite24,1590,755,229,229
sprite25,0,1132,235,231
sprite26,265,1144,241,230
sprite27,530,1156,246,231
sprite28,795,1168,250,230
sprite29,1060,1179,254,231
sprite30,1325,1183,257,238
sprite31,1590,1183,260,250
sprite32,0,1550,262,262
sprite33,265,1550,264,273
sprite34,530,1550,265,285
sprite35,794,1550,265,285
