sprite44,0,0,315,420
sprite45,315,0,315,420
sprite46,630,0,315,420
sprite47,945,0,315,420
sprite48,1260,0,315,420
sprite49,1575,0,315,420
sprite50,0,420,315,420
sprite51,315,420,315,420
sprite52,630,420,315,420
sprite53,945,420,315,420
sprite54,1260,420,315,420
sprite55,1575,420,315,420
sprite56,0,840,315,420
sprite57,315,840,315,420
sprite58,630,840,315,420
sprite59,945,840,315,420
sprite60,1260,840,315,420
sprite61,1575,840,315,420
sprite62,0,1260,315,420
sprite63,315,1260,315,420
sprite64,630,1260,315,420
sprite65,945,1260,315,420
sprite66,1260,1260,315,420
sprite67,1575,1260,315,420
sprite68,0,1680,315,420
sprite69,315,1680,315,420
sprite70,630,1680,315,420
sprite71,945,1680,315,420
sprite72,1260,1680,315,420
sprite73,1575,1680,315,420
sprite74,0,2100,315,420
sprite75,315,2100,315,420
sprite76,630,2100,315,420
sprite77,945,2100,315,420
sprite78,1260,2100,315,420
sprite79,1575,2100,315,420
sprite80,0,2520,315,420
sprite81,315,2520,315,420
sprite82,630,2520,315,420
sprite83,945,2520,315,420
sprite84,1260,2520,315,420
sprite85,1575,2520,315,420
sprite86,0,2940,315,420
sprite87,315,2940,315,420
